gust	n.一阵狂风
devastation	n.破坏
front	n.锋
instrumental	a.起作用的
day-to-day	a.每天的；日常工作的
archive		n.档案馆；史料
equatorial	a.赤道的
atmospheric	a.大气的
scale		n.标度;大小;天平
fahrenheit	a.华氏温度计的
thermometer	n.温度计
coincide	v.与……同时发生
compile		v.收集，编制
meteorological	a.气象学的
glacial		a.冰川的
geology		n.地质学
formidable	adj. 可怕的；令人敬畏的；难以对付的
sophisticated	adj. 复杂的；精致的；富有经验的；深奥微妙的v. 使变得世故；使迷惑；篡改(sophisticate的过去分词形式)
kindle	vt.& vi. 点燃，照耀；煽动，鼓舞；着火；发亮
smoky		a.冒烟的
habitable	a.适于居住的
correlation	n.相互关系
climatologist	n.气象学家
weathering	n.侵蚀，风化
erosion		n.侵蚀，磨损
calcium		n.【化】钙
minute		n.分钟 a.微小的；详细的
assemblage	n.(人、物的)集聚，组合，集合
temperate	a.温带的
quantifiable	a.可量化的
protocol	n. 礼仪；（外交条约的）草案；（数据传递的）协议；科学实验报告（或计划）
optics	n. 光学
endeavor v. 努力，尽力 n. 努力，尽力
anticyclone	n. 反气旋
convection	n. 传送，对流；运流
radiator	n. 暖气片，散热器；（汽车引擎的）冷却器；辐射体；冰箱
gyro		n. 陀螺仪，回转仪
intimate	adj. 亲密的，亲近的；私人的，个人的；内部的；直接的 n. 至交；密友 v. 暗示，提示；宣布，通知
gigantic	adj. 巨大的，庞大的；巨人似的；硕大无比；排山倒海
thermometer	n. 温度计；体温表
calibrate	vt. 校准；使标准化；使合标准；测量（枪的）口径 n.节
extensive		adj. 广阔的；广泛的；大量的，
miller	n. （尤指面粉厂的）厂主；磨房主；碾磨工；[昆]蛾
hemisphere	n. 半球；地球的半球；[解]大脑半球
seasonality	 n. 季节性
bog	n. 沼泽，泥塘；沼泽地区；<英口>户外厕所
millennium	n. 千年；千禧年
dendroclimatology	n. （通过分析树木年轮来研究过去气候情况的）树木气候学，年轮气候学
abrupt	adj. 突然的，意外的；粗鲁的，唐突的
sediment		n. [地]沉淀物；沉积物，沉渣
carbonate	n. 碳酸盐
ooze	vi. 渗出；慢慢地消失或减退；慢而稳地进步；出众 vt. 使液体缓缓流出；（秘密等）泄漏；溜走；充分地表露或散发 n. 软泥；渗出物；鞣皮用的浸液
interglacial	adj. 间冰期的
sedimentation		n. 沉淀，沉降；沉积；淤积；沉降法
seabed	n. 海底，海床
plankton	n. 浮游生物
assemblage	n. 装配；聚集；（聚集在一起的）一堆东西；组合成的艺术品
tilt	vt. 使倾斜；（在马上）拿枪扎；抨击，攻击 vi. 倾斜；〈美〉有倾向性，偏袒；抨击 n. 倾斜，歪斜；斜坡，坡度；马上刺枪比赛；跳动锤，落锤
elliptical	a.椭圆的
sunspot	n. 太阳黑子；雀斑
speculation	n. 投机买卖；思考；投机活动；推断
snap		vt.& vi. 猛地咬住；呵斥；折断 n. 一段时期的寒冷天气；（树枝等的）突然折断；严厉的话；突然的撕咬；尤指关上或断裂的声音)啪嗒声
terrestrial	adj. 陆地的；地球的；人间的；<天>类地行星的
correlation	n. 关联，联系
sulfur	n. 硫磺，硫黄；硫磺色 vt. 用硫磺处理
aerosol	n. [化]气溶胶；喷雾剂；悬浮微粒；喷雾器
discrepancy	n. 差异，不一致
projection	n.投影；预测，推测
condensation	n.冷缩，凝结
incorporate	v.包含，吸收；组成公司
refined adj. 精炼的；精制的；经过改良的；举止优雅的
reinforce	vt. 加固；强化，增强；增援 vi. 求援；得到增援；给予更多的支持
arrogance	n. 傲慢，自大
projection	n. 预测；规划，设计；[心]投射；突起物
interdisciplinary	adj. 各学科间的；跨学科
disentangle	vt. 解开…的结； 理顺；使解脱； 使脱出
End
