pit n.（地面的）坑，洼；（表面上的）疤痕 v.使竞争，使对立；去除……的果核
mighty a.强大的，巨大的
dike n.堤坝，大坝
unscathed a.未受伤的
cataclysmic a.灾难性的；极不成功的；大变动的
staggering a.大得惊人的，令人吃惊的 v.摇摇晃晃地走，蹒跚；使震惊，使大吃一惊；
canyon n.峡谷
reservoir n.水库，蓄水池；储藏，蓄积
excavate v.发掘，挖掘
dynamite m.炸药；具有爆炸性的事物
demolition n.拆毁，毁坏
detonator n.雷管；炸药；导火索
granite n.花岗岩；坚毅；冷酷无情
fallout n.（核爆炸后的）放射性坠尘；（工业事故或生产过程中产生的）空气悬浮物；后果，余波
smother v.使窒息；抑制；n.窒息状态
rubble n.（倒塌的墙或建筑留下的）瓦砾，碎石；（建房铺路用的）碎石
commissioner n.（政府部门的）首长，长官；（委员会的）委员，专员；
reclamation n.开垦；收回；再利用；矫正
impound v.没收；拘留；将……关在圈中
divert v.使转向，使绕道；分散，转移；娱乐，供消遣；转接（电话）；改变（资金、材料等）的用途
turbine n.涡轮机
diversion n.转向，转移；绕行路，支路；转移注意力的事物，分心的事物；消遣，娱乐
gravel n.碎石，砂砾；（用于铺路及用作三合土的）砂砾；砂砾层；（医）尿砂
cofferdam n.围堰；潜水箱
bentonite n.[土壤] 膨润土，[试剂] 皂土
trench n.壕沟，沟渠；海沟，海底沟；
backbone n.脊骨，脊柱；支柱，骨干
tidal a.潮汐的，受潮汐影响的
undertaking n.任务，企业；许诺，保证；
bucket n.桶
preformed a.预成型的，预制成的
amongst prep.在……当中；系……的一员
tributary n.（大河或湖泊的）支流；进贡国，附属国
smelter n.熔炉；冶金厂；熔炼工
repeal v.废除，废止，撤销
marvel v.感到惊奇，大为赞叹 n.令人惊异的人（或事），奇迹
spectacular a.壮观的，令人惊叹的；惊人的，突如其来的
cargo n.（船或飞机装载的）货物
barge n.驳船，平底载货船；华丽大游艇
fivefold adv./adj.五倍地；五重地
sprawling a.蔓延的，杂乱延伸的
demolish v.拆除
END
